zcta,year,month,day_of_month,hour_of_day,day_of_year,week_of_year,day_of_week,is_weekend,Call_counts
94102,2017,11,12,21,316,45,6,True,2.1271237710502775
94102,2017,11,12,22,316,45,6,True,2.1869956586606984
94102,2017,11,12,23,316,45,6,True,2.2485527528278895
94102,2017,11,13,0,317,46,0,False,1.1320822620603206
94102,2017,11,13,1,317,46,0,False,1.1639468403619206
94102,2017,11,13,2,317,46,0,False,1.1967083069766467
94102,2017,11,13,3,317,46,0,False,1.230391906508039
94102,2017,11,13,4,317,46,0,False,1.265023594116348
94102,2017,11,13,5,317,46,0,False,1.3006300555184827
94102,2017,11,13,6,317,46,0,False,1.3372387275509
94102,2017,11,13,7,317,46,0,False,1.3748778193112718
94102,2017,11,13,8,317,46,0,False,1.4135763338952263
94102,2017,11,13,9,317,46,0,False,1.453364090744908
94102,2017,11,13,10,317,46,0,False,1.4942717486265817
94102,2017,11,13,11,317,46,0,False,1.5363308292549855
94102,2017,11,13,12,317,46,0,False,1.5795737415826319
94102,2017,11,13,13,317,46,0,False,1.6240338067727793
94102,2017,11,13,14,317,46,0,False,1.6697452838753148
94102,2017,11,13,15,317,46,0,False,1.7167433962253322
94102,2017,11,13,16,317,46,0,False,1.7650643585847463
94102,2017,11,13,17,317,46,0,False,1.8147454050478617
94102,2017,11,13,18,317,46,0,False,1.865824817732393
94102,2017,11,13,19,317,46,0,False,1.9183419562780502
94102,2017,11,13,20,317,46,0,False,1.9723372881754153
94102,2017,11,13,21,317,46,0,False,2.027852419948483
94102,2017,11,13,22,317,46,0,False,2.0849301292148925
94102,2017,11,13,23,317,46,0,False,2.1436143976485527
94102,2017,11,14,0,318,46,1,False,1.1374781547596076
94102,2017,11,14,1,318,46,1,False,1.169494610580347
94102,2017,11,14,2,318,46,1,False,1.2024122295918103
94102,2017,11,14,3,318,46,1,False,1.2362563767219843
94102,2017,11,14,4,318,46,1,False,1.2710531308423234
94102,2017,11,14,5,318,46,1,False,1.3068293048630248
94102,2017,11,14,6,318,46,1,False,1.3436124663939268
94102,2017,11,14,7,318,46,1,False,1.3814309589869451
94102,2017,11,14,8,318,46,1,False,1.4203139239764175
94102,2017,11,14,9,318,46,1,False,1.460291322934187
94102,2017,11,14,10,318,46,1,False,1.5013939607567242
94102,2017,11,14,11,318,46,1,False,1.5436535094020798
94102,2017,11,14,12,318,46,1,False,1.58710253229496
94102,2017,11,14,13,318,46,1,False,1.6317745094187266
94102,2017,11,14,14,318,46,1,False,1.6777038631136596
94102,2017,11,14,15,318,46,1,False,1.7249259846013594
94102,2017,11,14,16,318,46,1,False,1.7734772612557288
94102,2017,11,14,17,318,46,1,False,1.8233951046415477
94102,2017,11,14,18,318,46,1,False,1.8747179793422462
94102,2017,11,14,19,318,46,1,False,1.9274854325990889
94102,2017,11,14,20,318,46,1,False,1.9817381247846104
94102,2017,11,14,21,318,46,1,False,2.037517860733782
94102,2017,11,14,22,318,46,1,False,2.0948676219570537
94102,2017,11,14,23,318,46,1,False,2.1538315997600916
94102,2017,11,15,0,319,46,2,False,1.1428997661358828
94102,2017,11,15,1,319,46,2,False,1.1750688233761568
94102,2017,11,15,2,319,46,2,False,1.2081433390602863
94102,2017,11,15,3,319,46,2,False,1.2421487990142133
94102,2017,11,15,4,319,46,2,False,1.2771114064102456
94102,2017,11,15,5,319,46,2,False,1.3130581019581153
94102,2017,11,15,6,319,46,2,False,1.350016584664353
94102,2017,11,15,7,319,46,2,False,1.3880153331759733
94102,2017,11,15,8,319,46,2,False,1.4270836277249173
94102,2017,11,15,9,319,46,2,False,1.4672515726901654
94102,2017,11,15,10,319,46,2,False,1.5085501197948992
94102,2017,11,15,11,319,46,2,False,1.5510110919565951
94102,2017,11,15,12,319,46,2,False,1.59466720780842
94102,2017,11,15,13,319,46,2,False,1.6395521069108299
94102,2017,11,15,14,319,46,2,False,1.6857003756727957
94102,2017,11,15,15,319,46,2,False,1.7331475740026292
94102,2017,11,15,16,319,46,2,False,1.7819302627089495
94102,2017,11,15,17,319,46,2,False,1.8320860316728969
94102,2017,11,15,18,319,46,2,False,1.883653528813311
94102,2017,11,15,19,319,46,2,False,1.9366724898671845
94102,2017,11,15,20,319,46,2,False,1.9911837690083463
94102,2017,11,15,21,319,46,2,False,2.0472293703279623
94102,2017,11,15,22,319,46,2,False,2.104852480201117
94102,2017,11,15,23,319,46,2,False,2.1640975005644094
94102,2017,11,16,0,320,46,3,False,1.1483472187731902
94102,2017,11,16,1,320,46,3,False,1.1806696047837515
94102,2017,11,16,2,320,46,3,False,1.2139017649639512
94102,2017,11,16,3,320,46,3,False,1.2480693066139266
94102,2017,11,16,4,320,46,3,False,1.2831985577993006
94102,2017,11,16,5,320,46,3,False,1.3193165876384765
94102,2017,11,16,6,320,46,3,False,1.3564512271609586
94102,2017,11,16,7,320,46,3,False,1.39463109075277
94102,2017,11,16,8,320,46,3,False,1.4338855982054888
94102,2017,11,16,9,320,46,3,False,1.4742449973859002
94102,2017,11,16,10,320,46,3,False,1.5157403875437248
94102,2017,11,16,11,320,46,3,False,1.5584037432753874
94102,2017,11,16,12,320,46,3,False,1.6022679391622934
94102,2017,11,16,13,320,46,3,False,1.647366775102592
94102,2017,11,16,14,320,46,3,False,1.6937350023559523
